plz,kreis
99897,Landkreis Gotha
99947,Unstrut-Hainich-Kreis
99955,Unstrut-Hainich-Kreis
99958,Landkreis Gotha
99974,Unstrut-Hainich-Kreis
99976,Unstrut-Hainich-Kreis
99986,Unstrut-Hainich-Kreis
99988,Unstrut-Hainich-Kreis
99991,Unstrut-Hainich-Kreis
99994,Unstrut-Hainich-Kreis
99996,Unstrut-Hainich-Kreis
99998,Unstrut-Hainich-Kreis
