plz,lat,lon,ort
33414,51.884800000000006,8.4444,Lufthansa WorldShop
33613,52.044,8.5225,Bielefeld
33818,52.0125,8.6983,Leopoldshöhe
34195,51.3362,9.4808,Agentur für Arbeit Kassel
34308,51.2333,9.25,Bad Emstal
34454,51.3798,9.0145,Bad Arolsen
34596,51.05,9.1833,Bad Zwesten
35085,50.726,8.857,Ebsdorfergrund
35285,50.9667,8.9667,Gemünden (Wohra)
35423,50.5208,8.8157,Lich
35582,50.55,8.5,Wetzlar
35708,50.7416,8.2078,Haiger
36041,50.5569,9.6431,Fulda
36163,50.4879,9.868,Poppenhausen
36280,50.85,9.4667,Oberaula
36396,50.314,9.4633,Steinau an der Straße
37099,51.5505,9.9423,Georg-August-Universität Bereich Humanmedizin Med. Fakultät
37218,51.3333,9.8667,Witzenhausen
37412,51.661,10.300266666666666,Elbingerode
37632,51.9144,9.6976,Eimen
38094,52.3031,10.5146,Volkswagen Leasing
38162,52.25,10.65,Cremlingen
38300,52.1578,10.5579,Wolfenbüttel
38382,52.0741,10.8581,Beierstedt
38470,52.5347,10.8902,Parsau
38551,52.4344,10.51,Ribbesbüttel
38829,51.8667,11.1,Harsleben
39092,52.1533,11.6324,IKK gesund plus
39167,52.1390125,11.4449875,Wellen
39356,52.31201,11.09866,Hörsingen
39606,52.78317200000001,11.687667999999999,Sandauerholz
40202,51.2362,6.8209,HUK-Coburg
40302,51.2533,6.7766,Landesamt für Besoldung und Versorgung NRW
40597,51.1659,6.8773,Düsseldorf
40883,51.3,6.85,Ratingen
41366,51.2167,6.2667,Schwalmtal
41541,51.127,6.8068,Dormagen
42107,51.2619,7.1513,Wuppertal
42329,51.2221,7.0639,Wuppertal
42655,51.176,7.0653,Solingen
44115,51.5157,7.4783,Amtsgericht
44147,51.5198,7.4378,Dortmund
44379,51.525,7.3676,Dortmund
44771,51.4727,7.2252,Agentur für Arbeit Bochum
44809,51.4997,7.1944,Bochum
45115,51.4534,7.0183,Deutsche Rentenversicherung Knappschaft-Bahn-See
45147,51.4408,6.9863,Essen
45468,51.4268,6.8806,Mülheim an der Ruhr
45711,51.656,7.3453,Datteln
